"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2015","854.59","854.48","857.72","849.41","328.04M","-0.31%"
"01/05/2015","864.63","854.95","867.96","854.11","644.59M","1.17%"
"01/06/2015","869.10","866.51","869.12","855.75","698.32M","0.52%"
"01/07/2015","867.77","869.25","876.26","864.98","791.95M","-0.15%"
"01/08/2015","876.90","874.05","879.19","872.60","731.76M","1.05%"
"01/09/2015","876.48","877.46","883.27","874.28","711.73M","-0.05%"
"01/12/2015","878.65","879.17","887.39","876.37","637.10M","0.25%"
"01/13/2015","883.13","881.05","885.48","878.24","736.66M","0.51%"
"01/14/2015","875.63","877.14","883.79","871.28","746.34M","-0.85%"
"01/15/2015","877.43","880.80","884.91","875.60","804.15M","0.21%"
"01/16/2015","874.16","876.49","878.66","868.63","619.40M","-0.37%"
"01/19/2015","880.06","876.97","883.22","875.85","511.99M","0.67%"
"01/20/2015","892.00","882.43","894.64","882.43","759.24M","1.36%"
"01/21/2015","903.13","896.91","903.50","896.35","725.46M","1.25%"
"01/22/2015","909.03","906.71","910.05","898.52","730.08M","0.65%"
"01/23/2015","907.36","911.96","915.85","905.39","666.42M","-0.18%"
"01/26/2015","914.13","905.49","914.13","902.94","545.74M","0.75%"
"01/27/2015","911.50","915.46","917.53","905.60","601.46M","-0.29%"
"01/28/2015","903.42","917.06","918.06","902.76","659.83M","-0.89%"
"01/29/2015","885.58","896.91","902.42","885.58","611.88M","-1.97%"
"01/30/2015","889.46","889.71","894.62","880.45","606.25M","0.44%"
"02/02/2015","897.13","891.45","898.58","886.74","463.24M","0.86%"
"02/03/2015","875.09","900.48","900.48","871.16","717.53M","-2.46%"
"02/04/2015","859.10","878.21","879.28","856.71","832.91M","-1.83%"
"02/05/2015","857.89","859.19","865.02","851.46","759.74M","-0.14%"
"02/06/2015","849.87","858.90","864.26","849.10","676.31M","-0.93%"
"02/09/2015","845.74","850.09","850.20","832.43","819.96M","-0.49%"
"02/10/2015","831.16","850.01","853.67","829.75","761.47M","-1.72%"
"02/11/2015","834.29","835.98","842.00","831.73","796.24M","0.38%"
"02/12/2015","860.83","837.86","860.83","837.86","839.24M","3.18%"
"02/13/2015","858.09","862.61","863.57","855.90","633.05M","-0.32%"
"02/16/2015","860.41","861.45","864.40","859.60","529.35M","0.27%"
"02/17/2015","844.25","856.92","859.58","844.25","646.85M","-1.88%"
